country,country_name,type,level,year,amount,difference
MT,Malta,Total net production,Total,2017,1594.459,-861.367
MT,Malta,Energy supplied,Total,2018,2509.14,-620.742
MT,Malta,Total net production,Total,2018,1888.398,-620.742
NL,Netherlands,Energy supplied,Total,2016,115946.625,-4914.372
NL,Netherlands,Total net production,Total,2016,111032.253,-4914.372
NL,Netherlands,Energy supplied,Total,2017,116971.246,-3506.212
NL,Netherlands,Total net production,Total,2017,113465.034,-3506.212
NL,Netherlands,Energy supplied,Total,2018,118412.371,-5861
NL,Netherlands,Total net production,Total,2018,112551.371,-5861
NO,Norway,Energy supplied,Total,2016,131229,17838
NO,Norway,Total net production,Total,2016,149067,17838
NO,Norway,Energy supplied,Total,2017,131824,16818
NO,Norway,Total net production,Total,2017,148642,16818
NO,Norway,Energy supplied,Total,2018,135674.508,11170.679
NO,Norway,Total net production,Total,2018,146845.187,11170.679
PL,Poland,Energy supplied,Total,2016,153258,-1255
PL,Poland,Total net production,Total,2016,152003,-1255
PL,Poland,Energy supplied,Total,2017,156421.464,-1552.12
PL,Poland,Total net production,Total,2017,154869.344,-1552.12
PL,Poland,Energy supplied,Total,2018,159130.403,-5033.903
PL,Poland,Total net production,Total,2018,154096.5,-5033.903
PT,Portugal,Energy supplied,Total,2016,52257.052,6605
PT,Portugal,Total net production,Total,2016,58862.052,6605
PT,Portugal,Energy supplied,Total,2017,52761.107,4907.871
PT,Portugal,Total net production,Total,2017,57668.978,4907.871
PT,Portugal,Energy supplied,Total,2018,53862,4223
PT,Portugal,Total net production,Total,2018,58085,4223
RO,Romania,Energy supplied,Total,2016,54579,5677
RO,Romania,Total net production,Total,2016,60256,5677
RO,Romania,Energy supplied,Total,2017,55995.38,3360.05
RO,Romania,Total net production,Total,2017,59355.43,3360.05
RO,Romania,Energy supplied,Total,2018,56178,2544
RO,Romania,Total net production,Total,2018,58722,2544
RS,Serbia,Energy supplied,Total,2016,33677,2951
RS,Serbia,Total net production,Total,2016,36628,2951
RS,Serbia,Energy supplied,Total,2017,34185.552,113
RS,Serbia,Total net production,Total,2017,34298.552,113
RS,Serbia,Energy supplied,Total,2018,34279.742,961.444
RS,Serbia,Total net production,Total,2018,35241.186,961.444
SE,Sweden,Energy supplied,Total,2016,140626,11905
SE,Sweden,Total net production,Total,2016,152531,11905
SE,Sweden,Energy supplied,Total,2017,141498,19028
SE,Sweden,Total net production,Total,2017,160526,19028
SE,Sweden,Energy supplied,Total,2018,141001.499,17285.589
SE,Sweden,Total net production,Total,2018,158287.088,17285.589
SI,Slovenia,Energy supplied,Total,2016,13997,1549
SI,Slovenia,Total net production,Total,2016,15546,1549
SI,Slovenia,Energy supplied,Total,2017,14515.916,880.96
SI,Slovenia,Total net production,Total,2017,15396.876,880.96
SI,Slovenia,Energy supplied,Total,2018,14529.653,754.601
SI,Slovenia,Total net production,Total,2018,15284.254,754.601
SK,Slovakia,Energy supplied,Total,2016,27314,-2317
SK,Slovakia,Total net production,Total,2016,24997,-2317
SK,Slovakia,Energy supplied,Total,2017,28302,-2610
